"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer","hamtaickeaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.legitimationskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.legitimationskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.yrkeskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.forandrandeOrdinator.yrkeskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator","","","",0,1,"","","","BackboneElement {[]} {[]}
","administrator","Administratör.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.fornamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Administratörens förnamn.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.fornamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.efternamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Administratörens efternamn.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.efternamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.anvandarId","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.anvandarId","","","",1,1,"","","","string {[]} {[]}
","anvandarId","Användar-id för administratören, eller id för databasjobbet, som uppdaterar en ordination.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.anvandarId",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.arbetsplats","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.arbetsplats","","","",1,1,"","","","string {[]} {[]}
","arbetsplats","Unik kod för identifiering av administratörens arbetsplats.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.administrator.arbetsplats",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.kommentar","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.kommentar","","","",0,1,"","","","string {[]} {[]}
","kommentar","Kommentar vid förändring, utsättning eller makulering av ordination. Obligatorisk parameter utom vid makulering med orsakskod annan än 4.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.kommentar",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.tidpunkt","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.tidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","tidpunkt","Datum och tidpunkt då ny historikpost skapades.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.tidpunkt",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.typ","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Anger vilken typ som avses. M =Makulering, U = Utsättning, K = Korrigerad, S = Spärrad, O = Utskrivet original.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forandring.typ",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forskrivarKommentar","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forskrivarKommentar","","","",0,1,"","","","string {[]} {[]}
","forskrivarKommentar","Förskrivarens kommentar till apoteket.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.forskrivarKommentar",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.harForandrats","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.harForandrats","","","",1,1,"","","","boolean {[]} {[]}
","harForandrats","Markering om ordinationen har ändrats av förskrivare eller farmaceut.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.harForandrats",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.historisktOrdinationsId","hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.historisktOrdinationsId","","","",0,1,"","","","string {[]} {[]}
","historisktOrdinationsId","Hänvisning till en eventuell historisk post av ordinationen. Alla historiska poster har tillståndsstatus Historik (211). En historisk post skapas exempelvis vid korrigering.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.dispenseradordinationLista.historisktOrdinationsId",0,1,"",""
