"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaaktuellaordinationer","hamtaaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaAktuellaOrdinationerResponder:5, HamtaAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaaktuellaordinationer.artikelLista.historiskaVarunummer","hamtaaktuellaordinationer.artikelLista.historiskaVarunummer","","","",0,*,"","","","string {[]} {[]}
","historiskaVarunummer","Lista över eventuella tidigare varunummer. Används om en artikel har fått nytt varunummer.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.historiskaVarunummer",0,*,"",""
"hamtaaktuellaordinationer.artikelLista.intressent","hamtaaktuellaordinationer.artikelLista.intressent","","","",0,1,"","","","string {[]} {[]}
","intressent","Intressent (företag) som är ansvarig för artikeln.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.intressent",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.lakemedel","hamtaaktuellaordinationer.artikelLista.lakemedel","","","",0,1,"","","","boolean {[]} {[]}
","lakemedel","Markering som visar om en artikel är ett läkemedel.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.lakemedel",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.narkotikaklass","hamtaaktuellaordinationer.artikelLista.narkotikaklass","","","",0,1,"","","","string {[]} {[]}
","narkotikaklass","Koden för narkotikaklass enligt Läkemedelsverkets förteckning: - = Ospecificerad 0 = Ej narkotikaklassad 1 = II 2 = Narkotika förteckning IV/V 3 = III 4 = IV 5 = V 6 = I","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.narkotikaklass",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.narkotikaklassKlartext","hamtaaktuellaordinationer.artikelLista.narkotikaklassKlartext","","","",0,1,"","","","string {[]} {[]}
","narkotikaklassKlartext","Narkotikaklass i klartext enligt Läkemedelsverket förteckning. Klartext enligt lexikontabell för narkotikaklass. Språk anges på svenska (sv).","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.narkotikaklassKlartext",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.nplId","hamtaaktuellaordinationer.artikelLista.nplId","","","",0,1,"","","","string {[]} {[]}
","nplId","Produktid, antingen NPL-id eller SB-id. Unikt id för en läkemedelsprodukt. Alla förpackningar med samma styrka/form/tillverkare grupperas i samma produktid.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.nplId",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.nplPackageId","hamtaaktuellaordinationer.artikelLista.nplPackageId","","","",0,1,"","","","string {[]} {[]}
","nplPackageId","Förpackningsid, antingen NPL-packid eller SB-packid. Unikt id för en läkemedelsartikel.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.nplPackageId",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.prisperiodensvara","hamtaaktuellaordinationer.artikelLista.prisperiodensvara","","","",0,1,"","","","boolean {[]} {[]}
","prisperiodensvara","Markering som anger om artikeln är definierad som prisperiodens vara.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.prisperiodensvara",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.produkttyp","hamtaaktuellaordinationer.artikelLista.produkttyp","","","",0,1,"","","","string {[]} {[]}
","produkttyp","Artikelns produkttyp som kod.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.produkttyp",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.produkttypKlartext","hamtaaktuellaordinationer.artikelLista.produkttypKlartext","","","",0,1,"","","","string {[]} {[]}
","produkttypKlartext","Artikelns produkttyp som klartext enligt lexikontabell för produkttyp. Språk anges på svenska (sv).","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.produkttypKlartext",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.registrerad","hamtaaktuellaordinationer.artikelLista.registrerad","","","",1,1,"","","","boolean {[]} {[]}
","registrerad","Anger om artikeln finns registrerad i VARA.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.registrerad",1,1,"",""
"hamtaaktuellaordinationer.artikelLista.sarskiltLakemedelKod","hamtaaktuellaordinationer.artikelLista.sarskiltLakemedelKod","","","",0,1,"","","","string {[]} {[]}
","sarskiltLakemedelKod","Kod som anger om särskild receptblankett krävs och om recept får itereras. 1 = Särskilt receptblankett krävs INTE. 2 = Särskild receptblankett krävs. Recepten får itereras. 3 = Särskild receptblankett krävs. Recepten får EJ itereras. 4 = Särskild receptblankett krävs. Recept för humant bruk får itereras. - = Ospecifierat","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.sarskiltLakemedelKod",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.tillhandahalls","hamtaaktuellaordinationer.artikelLista.tillhandahalls","","","",0,1,"","","","boolean {[]} {[]}
","tillhandahalls","Markering som visar om artikeln marknadsförs på den svenska marknaden. Sant om både artikeln och produkten tillhandahålls.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.tillhandahalls",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.utbytbar","hamtaaktuellaordinationer.artikelLista.utbytbar","","","",0,1,"","","","boolean {[]} {[]}
","utbytbar","Markering som anger om artikeln är utbytbar enligt VARA.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.utbytbar",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.varunummer","hamtaaktuellaordinationer.artikelLista.varunummer","","","",0,1,"","","","string {[]} {[]}
","varunummer","Nordiskt varunummer som är unikt för handelsvaror. För läkemedel kan dubbletter förekomma vid parallellimport.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.varunummer",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.artikelExtension","hamtaaktuellaordinationer.artikelLista.artikelExtension","","","",0,1,"","","","BackboneElement {[]} {[]}
","artikelExtension","artikelExtension Heter extension i schemat.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.artikelExtension",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.artikelLista.artikelExtension.id","hamtaaktuellaordinationer.artikelLista.artikelExtension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.artikelExtension.extension","hamtaaktuellaordinationer.artikelLista.artikelExtension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.artikelLista.artikelExtension.modifierExtension","hamtaaktuellaordinationer.artikelLista.artikelExtension.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKod","hamtaaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKod","","","",0,1,"","","","string {[]} {[]}
","utlamnandebegransningKod","Kod som anger om produkten får utlämnas från apotek endast om den har förskrivits av en läkare med viss specialistkompetens.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKod",0,1,"",""
"hamtaaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKlartext","hamtaaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKlartext","","","",0,1,"","","","string {[]} {[]}
","utlamnandebegransningKlartext","Anger om produkten får utlämnas från apotek endast om den har förskrivits av en läkare med viss specialistkompetens.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKlartext",0,1,"",""
"hamtaaktuellaordinationer.forskrivarInfoLista","hamtaaktuellaordinationer.forskrivarInfoLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","forskrivarInfoLista","Lista med förskrivare som gjort förändringar i ordinationerna.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.forskrivarInfoLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.forskrivarInfoLista.id","hamtaaktuellaordinationer.forskrivarInfoLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.forskrivarInfoLista.extension","hamtaaktuellaordinationer.forskrivarInfoLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.forskrivarInfoLista.modifierExtension","hamtaaktuellaordinationer.forskrivarInfoLista.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
